episode,return,steps,success,end_reason,return_ma,success_rate_ma
1,-34.50000000000009,168,1,goal,,
2,-73.10000000000007,200,0,timeout,,
3,-71.30000000000003,200,0,timeout,,
4,-50.60000000000014,200,0,timeout,,
5,-67.70000000000005,200,0,timeout,,
6,-65.00000000000016,200,0,timeout,,
7,-77.60000000000007,200,0,timeout,,
8,-68.60000000000002,200,0,timeout,,
9,-51.50000000000014,200,0,timeout,,
10,-72.20000000000007,200,0,timeout,,
11,-54.20000000000016,200,0,timeout,,
12,-6.700000000000024,106,1,goal,,
13,-29.800000000000068,157,1,goal,,
14,-80.29999999999993,200,0,timeout,,
15,-45.2000000000002,200,0,timeout,,
16,-5.800000000000015,70,1,goal,,
17,-22.900000000000134,169,1,goal,,
18,-4.500000000000011,66,1,goal,,
19,-61.40000000000017,200,0,timeout,,
20,-8.200000000000053,94,1,goal,,
21,-23.40000000000009,147,1,goal,,
22,-4.3000000000000185,82,1,goal,,
23,-11.200000000000088,151,1,goal,,
24,-6.900000000000041,108,1,goal,,
25,2.400000000000013,69,1,goal,,
26,-4.800000000000004,78,1,goal,,
27,-11.900000000000091,131,1,goal,,
28,7.000000000000009,41,1,goal,,
29,2.000000000000007,55,1,goal,,
30,16.799999999999997,33,1,goal,,
31,6.500000000000018,64,1,goal,,
32,9.800000000000008,49,1,goal,,
33,-6.300000000000054,93,1,goal,,
34,1.1000000000000014,55,1,goal,,
35,-12.700000000000024,103,1,goal,,
36,-18.80000000000011,128,1,goal,,
37,-0.8000000000000078,56,1,goal,,
38,-13.800000000000061,105,1,goal,,
39,-21.300000000000104,162,1,goal,,
40,0.9000000000000163,75,1,goal,,
41,11.000000000000005,28,1,goal,,
42,-10.200000000000053,87,1,goal,,
43,-6.600000000000012,96,1,goal,,
44,-13.100000000000051,98,1,goal,,
45,1.1000000000000014,64,1,goal,,
46,12.200000000000008,52,1,goal,,
47,6.900000000000002,33,1,goal,,
48,-1.40000000000002,80,1,goal,,
49,-8.000000000000039,101,1,goal,,
50,11.400000000000006,33,1,goal,-20.750000000000046,0.74
51,-10.70000000000006,137,1,goal,-20.274000000000047,0.74
52,-3.8000000000000185,68,1,goal,-18.888000000000044,0.76
53,13.700000000000006,37,1,goal,-17.188000000000045,0.78
54,11.700000000000008,48,1,goal,-15.942000000000041,0.8
55,6.9000000000000075,33,1,goal,-14.45000000000004,0.82
56,9.600000000000014,69,1,goal,-12.958000000000037,0.84
57,-1.4999999999999964,99,1,goal,-11.436000000000035,0.86
58,8.100000000000009,57,1,goal,-9.902000000000035,0.88
59,8.50000000000001,44,1,goal,-8.702000000000032,0.9
60,-7.100000000000048,74,1,goal,-7.400000000000031,0.92
61,9.500000000000007,52,1,goal,-6.126000000000029,0.94
62,-0.10000000000001563,58,1,goal,-5.994000000000028,0.94
63,7.900000000000011,59,1,goal,-5.240000000000026,0.94
64,7.10000000000001,49,1,goal,-3.4920000000000275,0.96
65,0.9999999999999822,74,1,goal,-2.568000000000024,0.98
66,4.2000000000000135,51,1,goal,-2.368000000000024,0.98
67,-7.400000000000041,86,1,goal,-2.0580000000000216,0.98
68,-0.40000000000000213,97,1,goal,-1.9760000000000215,0.98
69,10.100000000000009,46,1,goal,-0.546000000000018,1.0
70,-1.1000000000000192,68,1,goal,-0.40400000000001723,1.0
71,-2.6000000000000156,74,1,goal,0.01199999999998422,1.0
72,12.100000000000009,44,1,goal,0.3399999999999848,1.0
73,16.9,23,1,goal,0.9019999999999865,1.0
74,3.400000000000002,59,1,goal,1.1079999999999872,1.0
75,8.300000000000004,37,1,goal,1.225999999999987,1.0
76,8.900000000000007,40,1,goal,1.4999999999999876,1.0
77,6.300000000000013,57,1,goal,1.8639999999999894,1.0
78,-15.200000000000081,119,1,goal,1.4199999999999877,1.0
79,-1.4210854715202004e-14,75,1,goal,1.3799999999999872,1.0
80,9.600000000000005,33,1,goal,1.2359999999999873,1.0
81,11.100000000000007,36,1,goal,1.3279999999999874,1.0
82,9.50000000000001,43,1,goal,1.3219999999999874,1.0
83,18.2,19,1,goal,1.8119999999999885,1.0
84,1.3999999999999986,52,1,goal,1.8179999999999885,1.0
85,16.4,19,1,goal,2.399999999999989,1.0
86,3.3000000000000114,60,1,goal,2.841999999999991,1.0
87,16.9,23,1,goal,3.1959999999999913,1.0
88,8.100000000000005,39,1,goal,3.6339999999999923,1.0
89,15.0,24,1,goal,4.359999999999994,1.0
90,15.000000000000004,24,1,goal,4.641999999999995,1.0
91,10.000000000000007,38,1,goal,4.621999999999995,1.0
92,5.7000000000000135,63,1,goal,4.939999999999996,1.0
93,6.400000000000011,56,1,goal,5.199999999999997,1.0
94,12.900000000000006,36,1,goal,5.719999999999996,1.0
95,10.300000000000004,44,1,goal,5.903999999999997,1.0
96,7.400000000000009,46,1,goal,5.807999999999997,1.0
97,10.700000000000006,49,1,goal,5.883999999999998,1.0
98,14.400000000000002,39,1,goal,6.199999999999999,1.0
99,7.700000000000019,70,1,goal,6.5139999999999985,1.0
100,13.300000000000004,32,1,goal,6.552,1.0
101,2.600000000000005,58,1,goal,6.8180000000000005,1.0
102,4.400000000000016,67,1,goal,6.982,1.0
103,14.799999999999999,26,1,goal,7.004000000000001,1.0
104,8.100000000000007,39,1,goal,6.932000000000001,1.0
105,10.100000000000007,37,1,goal,6.996000000000001,1.0
106,12.600000000000009,39,1,goal,7.056,1.0
107,13.8,27,1,goal,7.362,1.0
108,13.000000000000007,26,1,goal,7.46,1.0
109,15.3,21,1,goal,7.596,1.0
110,17.099999999999998,30,1,goal,8.080000000000002,1.0
111,16.599999999999998,26,1,goal,8.222000000000001,1.0
112,10.500000000000007,42,1,goal,8.434000000000001,1.0
113,9.800000000000006,31,1,goal,8.472000000000001,1.0
114,9.200000000000006,37,1,goal,8.514000000000003,1.0
115,3.600000000000012,57,1,goal,8.566,1.0
116,11.800000000000006,47,1,goal,8.718000000000002,1.0
117,11.600000000000003,49,1,goal,9.098000000000003,1.0
118,14.899999999999999,25,1,goal,9.404000000000002,1.0
119,18.4,17,1,goal,9.570000000000004,1.0
120,13.600000000000009,38,1,goal,9.864000000000003,1.0
121,13.3,32,1,goal,10.182000000000004,1.0
122,17.0,22,1,goal,10.280000000000005,1.0
123,13.200000000000003,24,1,goal,10.206000000000003,1.0
124,10.700000000000003,31,1,goal,10.352000000000002,1.0
125,13.300000000000004,23,1,goal,10.452000000000004,1.0
126,15.599999999999998,18,1,goal,10.586000000000004,1.0
127,15.099999999999998,23,1,goal,10.762000000000002,1.0
128,10.700000000000008,40,1,goal,11.280000000000006,1.0
129,7.100000000000012,49,1,goal,11.422000000000004,1.0
130,15.899999999999999,24,1,goal,11.548000000000007,1.0
131,16.4,19,1,goal,11.654000000000005,1.0
132,12.300000000000008,42,1,goal,11.710000000000004,1.0
133,12.5,31,1,goal,11.596000000000004,1.0
