episode,return,steps,success,end_reason,return_ma,success_rate_ma
1,-25.1,2,0,enemy,,
2,-45.80000000000001,47,0,trap,,
3,-28.900000000000002,13,0,trap,,
4,-29.2,16,0,trap,,
5,-45.600000000000016,54,0,trap,,
6,-39.8,23,0,trap,,
7,-37.3,34,0,enemy,,
8,-26.3,5,0,trap,,
9,-41.8,52,0,trap,,
10,-38.69999999999999,39,0,trap,,
11,-38.9,23,0,enemy,,
12,-30.699999999999996,13,0,trap,,
13,-44.6,44,0,trap,,
14,-62.600000000000044,89,0,trap,,
15,-39.39999999999999,37,0,trap,,
16,-57.90000000000004,69,0,trap,,
17,-25.2,3,0,trap,,
18,-43.90000000000002,46,0,trap,,
19,-83.3000000000001,143,0,enemy,,
20,-26.6,8,0,trap,,
21,-63.50000000000005,89,0,trap,,
22,-45.400000000000006,34,0,enemy,,
23,-57.00000000000003,78,0,trap,,
24,-34.8,27,0,enemy,,
25,-39.599999999999994,39,0,trap,,
26,-38.39999999999999,27,0,trap,,
27,-28.6,10,0,trap,,
28,-51.10000000000002,73,0,trap,,
29,-30.5,11,0,trap,,
30,-46.60000000000001,55,0,enemy,,
31,-43.2,48,0,trap,,
32,-28.900000000000002,13,0,trap,,
33,-47.00000000000003,59,0,trap,,
34,-27.2,5,0,trap,,
35,-37.0,22,0,trap,,
36,-26.3,5,0,enemy,,
37,-63.40000000000003,70,0,trap,,
38,-74.10000000000005,96,0,trap,,
39,-63.20000000000004,86,0,trap,,
40,-30.299999999999997,18,0,trap,,
41,-28.8,12,0,trap,,
42,-34.099999999999994,29,0,trap,,
43,-26.4,6,0,trap,,
44,-30.5,20,0,trap,,
45,-44.60000000000001,35,0,trap,,
46,-28.2,15,0,trap,,
47,-30.7,13,0,trap,,
48,-40.699999999999996,32,0,trap,,
49,-25.7,8,0,trap,,
50,-25.3,4,0,trap,,
51,-37.099999999999994,32,0,trap,,
52,-45.3,51,0,trap,,
53,-25.0,1,0,enemy,,
54,-27.4,7,0,trap,,
55,-29.5,19,0,trap,,
56,-28.0,13,0,trap,,
57,-28.7,11,0,trap,,
58,-26.3,5,0,enemy,,
59,-29.1,15,0,trap,,
60,-30.799999999999997,14,0,trap,,
61,-36.699999999999996,28,0,trap,,
62,-40.39999999999999,38,0,trap,,
63,-70.50000000000007,114,0,trap,,
