episode,return,steps,success,end_reason,return_ma,success_rate_ma
1,-24.5,2,0,enemy,,
2,-44.60000000000001,47,0,trap,,
3,-26.5,13,0,trap,,
4,-26.8,16,0,trap,,
5,-41.99999999999999,54,0,trap,,
6,-38.6,23,0,trap,,
7,-37.3,34,0,enemy,,
8,-25.1,5,0,trap,,
9,-39.99999999999999,52,0,trap,,
10,-28.7,17,0,trap,,
11,-69.00000000000003,102,0,trap,,
12,-58.400000000000006,89,0,trap,,
13,-35.199999999999996,25,0,trap,,
14,-31.4,23,0,trap,,
15,-46.0,55,0,trap,,
16,-42.0,39,0,trap,,
17,-39.599999999999994,48,0,enemy,,
18,-52.8,69,0,trap,,
19,-40.8,45,0,trap,,
20,-60.100000000000016,88,0,trap,,
21,-52.400000000000006,53,0,trap,,
22,-26.1,6,0,enemy,,
23,-38.199999999999996,40,0,trap,,
24,-34.5,42,0,enemy,,
25,-24.6,6,0,enemy,,
26,-27.7,13,0,trap,,
27,-27.3,9,0,trap,,
28,-25.0,4,0,trap,,
29,-26.4,9,0,trap,,
30,-29.5,22,0,enemy,,
31,-27.6,15,0,trap,,
32,-43.4,65,0,trap,,
33,-31.8,24,0,trap,,
34,-26.0,17,0,trap,,
35,-32.5,19,0,enemy,,
36,-30.0,18,0,trap,,
37,-48.3,57,0,trap,,
38,-52.999999999999986,92,0,trap,,
39,-23.4,9,0,enemy,,
40,-45.69999999999999,61,0,trap,,
41,-29.5,43,0,enemy,,
42,-50.2,70,0,trap,,
43,-40.199999999999996,51,0,trap,,
44,-31.599999999999998,19,0,trap,,
45,-27.9,18,0,trap,,
46,-28.2,12,0,trap,,
47,-32.699999999999996,30,0,trap,,
48,-26.2,7,0,trap,,
49,-24.0,3,0,trap,,
50,-24.5,8,0,trap,,
51,-32.0,26,0,trap,,
52,-32.4,15,0,trap,,
53,-28.3,10,0,trap,,
54,-43.099999999999994,56,0,enemy,,
55,-23.0,5,0,trap,,
56,-38.0,53,0,enemy,,
57,-25.1,8,0,trap,,
58,-31.7,17,0,trap,,
59,-31.3,22,0,trap,,
60,-32.0,32,0,trap,,
61,-23.2,7,0,trap,,
62,-24.1,4,0,trap,,
63,-27.3,15,0,enemy,,
64,-25.0,4,0,trap,,
65,-28.9,19,0,trap,,
66,-31.8,27,0,enemy,,
67,-35.7,33,0,trap,,
68,-26.4,9,0,trap,,
69,-24.2,8,0,trap,,
70,-29.8,19,0,trap,,
71,-30.0,21,0,trap,,
72,-23.1,6,0,trap,,
73,-25.8,15,0,trap,,
74,-24.0,3,0,trap,,
75,-43.099999999999994,65,0,trap,,
76,-27.2,11,0,trap,,
77,-35.5,34,0,enemy,,
78,-28.4,11,0,trap,,
79,-37.99999999999999,50,0,trap,,
80,-32.1,27,0,enemy,-33.728750000000005,0.0
81,-33.8,32,0,trap,-33.845,0.0
82,-31.7,29,0,enemy,-33.68375,0.0
83,-34.599999999999994,34,0,enemy,-33.785000000000004,0.0
84,-24.0,3,0,trap,-33.75,0.0
85,-28.6,37,0,enemy,-33.582499999999996,0.0
86,-26.4,12,0,trap,-33.43,0.0
87,-25.5,12,0,trap,-33.2825,0.0
88,-31.8,30,0,trap,-33.366249999999994,0.0
89,-30.7,25,0,enemy,-33.25,0.0
90,-28.2,21,0,trap,-33.24375,0.0
91,-27.5,26,0,trap,-32.725,0.0
92,-35.3,29,0,trap,-32.43625,0.0
93,-23.0,5,0,trap,-32.283750000000005,0.0
94,-24.4,13,0,trap,-32.196250000000006,0.0
95,-27.5,14,0,trap,-31.965000000000003,0.0
96,-26.6,11,0,enemy,-31.7725,0.0
97,-31.1,23,0,trap,-31.66625,0.0
98,-25.5,6,0,enemy,-31.325,0.0
99,-26.3,14,0,enemy,-31.14375,0.0
100,-25.6,16,0,trap,-30.7125,0.0
